Event ID	Event Date	Source Name	Source Sectors	Source Country	Event Text	CAMEO Code	Intensity	Target Name	Target Sectors	Target Country	Story ID	Sentence Number	Publisher	City	District	Province	Country	Latitude	Longitude
32865430	2018-06-01	Citizen (Israel)	General Population / Civilian / Social,Social	Israel	Make an appeal or request	020	3	Reuven Rivlin	Executive,Elite,Executive Office,Government	Israel	47437577	1	The Jerusalem Post	NA	NA	NA	Israel	31.779	35.2253
32861348	2018-06-01	Student (Israel)	Education,Social	Israel	Demonstrate or rally	141	-6.5	Haim Ramon	Ideological,(National) Major Party,Parties,Jews,International Ethnic,Centrist	Israel	47437578	1	The Jerusalem Post	Tel Aviv University	NA	Tel Aviv District	Israel	32.1134	34.8035
32861346	2018-06-01	Israel	NA	Israel	Sign formal agreement	057	8	Ministry (Israel)	Government	Israel	47437580	4	The Jerusalem Post	West Jerusalem	NA	Jerusalem District	Israel	31.782	35.2196
32861343	2018-06-01	Government (Palestinian Territory, Occupied)	Government	Occupied Palestinian Territory	Accede to demands for rights	0833	5	Citizen (Palestinian Territory, Occupied)	Social,General Population / Civilian / Social	Occupied Palestinian Territory	47437582	2	The Jerusalem Post	NA	NA	West Bank	Occupied Palestinian Territory	31.6667	35.25
32861347	2018-06-01	Labor Activist (Israel)	Labor NGOs,Nongovernmental Organizations / Activists	Israel	Appeal for diplomatic cooperation (such as policy support)	022	3.4	Citizen (Israel)	General Population / Civilian / Social,Social	Israel	47437584	1	The Jerusalem Post	NA	NA	NA	Israel	31.779	35.2253
32861350	2018-06-01	Jordan	NA	Jordan	Express intent to meet or negotiate	036	4	United States	NA	United States	47437586	2	The Jerusalem Post	NA	NA	NA	United States	38.8951	-77.0364
32861349	2018-06-01	United States	NA	United States	Express intent to meet or negotiate	036	4	Jordan	NA	Jordan	47437586	2	The Jerusalem Post	NA	NA	NA	United States	38.8951	-77.0364
32861354	2018-06-01	Benjamin Netanyahu	Ideological,Executive,Elite,Government,Executive Office,Center Right,(National) Major Party,Parties,Jews,International Ethnic,Foreign Ministry	Israel	Make an appeal or request	020	3	Citizen (Iran)	General Population / Civilian / Social,Social	Iran	47437591	1	The Jerusalem Post	NA	NA	NA	Israel	31.779	35.2253
32861355	2018-06-01	Benjamin Netanyahu	Ideological,Executive,Elite,Government,Executive Office,Center Right,(National) Major Party,Parties,Jews,International Ethnic,Foreign Ministry	Israel	Make an appeal or request	020	3	Citizen (Iran)	General Population / Civilian / Social,Social	Iran	47437591	4	The Jerusalem Post	NA	NA	NA	Iran	35.6944	51.4215
32865434	2018-06-01	Israel	NA	Israel	Engage in diplomatic cooperation	050	3.5	Russia	NA	Russian Federation	47437592	1	The Jerusalem Post	NA	NA	NA	Israel	31.779	35.2253
32865435	2018-06-01	Police (Iran)	Police,Government	Iran	Engage in material cooperation	060	6	Military (Syria)	Military,Government	Syria	47437592	6	The Jerusalem Post	NA	NA	NA	Iran	35.6944	51.4215
32861565	2018-06-01	Sergey Viktorovich Lavrov	Government,Cabinet,Executive,Ideological,(National) Major Party,Parties,Center Right,Foreign Ministry	Russian Federation	Make an appeal or request	020	3	Military (Syria)	Military,Government	Syria	47437593	6	The Jerusalem Post	NA	NA	NA	Russian Federation	55.7522	37.6156
32864588	2018-06-01	Khalid A. Al-Falih	Government,State Owned Enterprises,State-Owned Heavy Industrial / Chemical	Saudi Arabia	Express intent to meet or negotiate	036	4	Ministry (Kuwait)	Government	Kuwait	47452222	1	The Oil Daily	Vienna	Politischer Bezirk Wien (Stadt)	Wien	Austria	48.2085	16.3721
32830960	2018-06-01	Representatives (United States)	Government,Legislative / Parliamentary	United States	Make a visit	042	1.9	Israel	NA	Israel	47544058	4	The Jerusalem Post	Jerusalem	NA	Jerusalem District	Israel	31.769	35.2163
32830961	2018-06-01	Israel	NA	Israel	Host a visit	043	2.8	Representatives (United States)	Government,Legislative / Parliamentary	United States	47544058	4	The Jerusalem Post	Jerusalem	NA	Jerusalem District	Israel	31.769	35.2163
33441326	2018-06-01	Police (India)	Police,Government	India	Arrest, detain, or charge with legal action	173	-5	Children (India)	Social,General Population / Civilian / Social	India	47851291	1	Hindustan Times	Ludhiana	NA	State of Punjab	India	30.9002	75.8523
33447200	2018-06-01	Cabinet / Council of Ministers / Advisors (India)	Executive,Cabinet,Government	India	Make statement	010	0	India	NA	India	47851292	3	Hindustan Times	Patiala	NA	State of Punjab	India	30.3272	76.4027
33447201	2018-06-01	Cabinet / Council of Ministers / Advisors (India)	Executive,Cabinet,Government	India	Make statement	010	0	Education (India)	Social,Education	India	47851292	3	Hindustan Times	Patiala	NA	State of Punjab	India	30.3272	76.4027
33447202	2018-06-01	Cabinet / Council of Ministers / Advisors (India)	Executive,Cabinet,Government	India	Criticize or denounce	111	-2	Bharatiya Janata	Parties,(National) Major Party,Opposition Major Party (Out Of Government)	India	47851292	5	Hindustan Times	Patiala	NA	State of Punjab	India	30.3272	76.4027
33441571	2018-06-01	Communist Party of India	Ideological,Communist,Parties,(National) Major Party,Opposition Major Party (Out Of Government)	India	Demonstrate or rally	141	-6.5	India	NA	India	47851481	1	Hindustan Times	Ludhiana	NA	State of Punjab	India	30.9002	75.8523
33441572	2018-06-01	Protester (India)	Protestors / Popular Opposition / Mobs,Dissident	India	Demonstrate or rally	141	-6.5	Police (India)	Police,Government	India	47851481	3	Hindustan Times	Lalitpur	NA	State of Uttar Pradesh	India	24.6905	78.4189
33444046	2018-06-01	Police (India)	Police,Government	India	Arrest, detain, or charge with legal action	173	-5	Citizen (India)	Social,General Population / Civilian / Social	India	47851483	1	Hindustan Times	Ludhiana	NA	State of Punjab	India	30.9002	75.8523
33441342	2018-06-01	Ministry (India)	Government	India	Make an appeal or request	020	3	Citizen (India)	Social,General Population / Civilian / Social	India	47851484	1	Hindustan Times	Chandigarh	NA	Union Territory of Chandigarh	India	30.7363	76.7884
33441343	2018-06-01	Pawan Kumar Bansal	Police,Government	India	Make an appeal or request	020	3	Citizen (India)	Social,General Population / Civilian / Social	India	47851484	1	Hindustan Times	Chandigarh	NA	Union Territory of Chandigarh	India	30.7363	76.7884
33443837	2018-06-01	Charanjit Singh	Police,Government	India	Investigate crime, corruption	091	-2	Citizen (India)	Social,General Population / Civilian / Social	India	47851487	1	Hindustan Times	Raikot	NA	State of Punjab	India	30.65	75.6
33440345	2018-06-01	India	NA	India	Engage in material cooperation	060	6	Education (India)	Social,Education	India	47851488	1	Hindustan Times	Ludhiana	NA	State of Punjab	India	30.9002	75.8523
33440344	2018-06-01	Education (India)	Social,Education	India	Engage in material cooperation	060	6	India	NA	India	47851488	1	Hindustan Times	Ludhiana	NA	State of Punjab	India	30.9002	75.8523
33445065	2018-06-01	Farm Worker (India)	Social,Agricultural	India	Bring lawsuit against	115	-2	Citizen (India)	Social,General Population / Civilian / Social	India	47851653	1	Hindustan Times	Chandigarh	NA	Union Territory of Chandigarh	India	30.7363	76.7884
