"","eventtype_ID","name","code","goldstein","nsLeft","nsRight","description","usage_notes","example","root_code","order"
"18",18,"Appeal for intelligence","0214",3.4,33,34,"Make an appeal for, request, or suggest sharing of intelligence. ","Use this code for requests to develop or expand intelligence and information sharing. Actual events of intelligence cooperation are coded as 064. ","Turkey said Monday it had asked Tehran and Damascus to provide urgent information about arms and ammunition seized last week in southeastern Turkey aboard six trucks travelling from Iran to Syria. ","02",18
"19",19,"Appeal for diplomatic cooperation (such as policy support)","022",3.4,36,37,"Make an appeal for, request, or suggest expansion of diplomatic ties or cooperation. ","This event form is typically, although not exclusively, a verbal act. It refers to appeals for expanded diplomatic ties and non-tangible support on particular policies. Appeals for more specific forms of diplomacy, such as mediation and negotiation, are coded elsewhere within category 02. ","North Korean state media have called on the United States to forge “ties of confidence” with Pyongyang ahead of six-party nuclear talks expected to be held in Beijing on July 26. ","02",19
"20",20,"Appeal for aid","023",3.4,38,47,"Make an appeal for, request, or suggest provision of material assistance not otherwise specified. ","This category contains sub-forms for more detailed coding whenever possible. The source could be requesting aid for itself or on behalf of a third party; in either case, the actor whom the request is directed to should be coded as the target. Note that only requests for or suggestions of material aid are coded under this category; events coded under 023 imply neither the receipt or delivery of material aid nor a commitment on the part of the source actor to provide such aid. For the latter two cases, refer instead to categories 07 and 033, respectively. ","Romania has asked the European Community for immediate delivery of additional aid, EC sources said on Thursday. ","02",20
"21",21,"Appeal for economic aid","0231",3.4,39,40,"Make an appeal for, request, or suggest economic assistance. ","This event form is typically, although not exclusively, a verbal act. Requests or suggestions for loans or debt relief are also coded here. Appeals for reciprocal economic exchange, such as trade, should be coded as 0212 instead. The source could be requesting support for itself or on behalf of another party. ","Russia and China will ask Asian banks to help finance construction of an $8 billion Trans-Siberian natural gas link to China. Note: Because of the compound source (Russia and China), two events are coded. ","02",21
"22",22,"Appeal for military aid","0232",3.4,41,42,"Make an appeal for, request, or suggest military assistance. ","This event form is typically, although not exclusively, a verbal act. Requests for or suggestions of joint military actions, rather than unilateral military aid, should be coded as 0212 instead. ","Angola has asked Portugal for military aid, especially instructors for its Soviet-and Cuban-trained armed forces, a Lisbon newspaper said today. ","02",22
"23",23,"Appeal for humanitarian aid","0233",3.4,43,44,"Make an appeal for, request, or suggest humanitarian assistance. ","Requests for or suggestions of food, medicine, and related personnel, as well as shelter and protection, are all coded as 0233. Calls by refugees to be let into the territories of other countries (which should be coded as targets) and asylum requests all fit here. ","Oxfam Canada today called on the world community to help save tens of thousands of Afghan civilians threatened with starvation. ","02",23
"24",24,"Appeal for military protection or peacekeeping","0234",3.4,45,46,"Make an appeal for, request, or suggest deployment of peacekeepers or other military forces to preserve peace, enforce ceasefires, or protect civilians. ","This event form is typically, although not exclusively, a verbal act. The source actor could be making the appeal for itself or on behalf of another party; the target should represent the actor who is expected to provide the forces. ","A group of prominent Liberians have written to President George Bush urging him to send U.S. peacekeeping troops to their capital Monrovia. ","02",24
"25",25,"Appeal for political reform","024",-0.3,48,57,"Make an appeal for, request, or suggest political change not otherwise specified. ","This event form refers to verbal and non-threatening appeals. More forceful “demands” for political change are coded under 104; expressions that take the form of demonstrations, protests, etc. are coded under category 14. Source actors can be local citizens as well as international actors; they could be making the appeal on their own behalf or on behalf of others. Note that when the requested reform clearly constitutes some form of concession or yielding by the target such as the easing of administrative sanctions, a more appropriate ‘Appeal’ code might be found under 025. ","About 300 representatives from Egyptian civil society organizations submitted the most recent in a series of reform petitions, under the title “In Defense of the Nation” to the Saudi royal family. ","02",25
"26",26,"Appeal for change in leadership","0241",-0.3,49,50,"Make an appeal for, request, or suggest change in leadership or power. ","This event form refers to verbal and non-threatening appeals. More forceful “demands” for leadership change are coded as 1041; demonstrations, protests, etc. demanding change in leadership/power are coded under category 14. Note that even though calls for the target to resign or relinquish power are forms of yielding, they are still coded here. Also code appeals for elections here. ","Members of parliament from Kenya’s Liberal Democratic Party called on Energy Minister Kiraitu Murungi to resign in the wake of new evidence over the $7 billion scandals. ","02",26
"27",27,"Appeal for policy change","0242",-0.3,51,52,"Make an appeal for, request, or suggest change in any particular policy. ","This event form refers to verbal and non-threatening appeals. More forceful “demands” for policy change are coded as 1042; demonstrations, protests, etc. demanding change in leadership/power are coded under category 14. Just like the source actor, the policy in question can also be domestic or international in nature. If it is clear from the lead that by requesting certain policy changes the source is in fact appealing to the target to yield or concede, the event might be better coded under 035. ","U.S. President George W. Bush said Friday that he will tell Japanese Prime Minister Junichiro Koizumi that Japan needs to enact significant economic reforms. ","02",27
"28",28,"Appeal for rights","0243",-0.3,53,54,"Make an appeal for, request, or suggest provision or expansion of social, political, or other rights. ","This event form refers to verbal and non-threatening appeals. More forceful “demands” for rights are coded as 1043; demonstrations, protests, etc. demanding certain rights are coded under category 14. If it is clear from the lead that by requesting certain rights the source is in fact appealing to the target to yield or concede, the event might be better coded under 025. Appeals for provision of compensation for previously violated rights, for instance, are coded as 025. ","The UN urged the Maoists rebels in Nepal to honor human rights, according to the UN High Commissioner for Human Rights (UNHCR). ","02",28
"29",29,"Appeal for change in institutions, regime","0244",-0.3,55,56,"Make an appeal for, request, or suggest major institutional, constitutional, or regime change. ","This event form refers to verbal and non-threatening appeals. More forceful “demands” for institutional change are coded as 1044; demonstrations, protests, etc. demanding such change are coded under category 14. Institutional change is different from policy change in that the former directly alters the rules of the game. Requests for fundamental changes in the political system (e.g. democratization) as well as for more limited institutional changes (e.g. changing electoral law) are coded here. ","President Emile Lahoud has pushed the Lebanese Parliament for a new election law two days before he is to call parliamentary elections. ","02",29
"30",30,"Appeal to yield","025",-0.3,58,71,"Make an appeal for, request, or suggest that target yields or concedes; not otherwise specified. ","This event form is typically, although not exclusively, a verbal act. The source for this event type may or may not be one of the adversaries; a third party could also be appealing to one or more of the parties in conflict (who are coded as targets) to yield. When the source itself expresses its intent to yield—rather than requesting it from another party—the event should be coded under 035 instead. When yielding actually takes place, use the appropriate code under category 08. ","Israeli Prime Minister Ariel Sharon wants Germany to pay more compensation to the families of 11 Israeli athletes killed at the 1972 Munich Olympic Games, a statement from his office said Tuesday. ","02",30
"31",31,"Appeal for easing of administrative sanctions","0251",-0.3,59,60,"Make an appeal for, request, or suggest that target relaxes administrative restrictions. ","Use this code when a government is requested to undertake some political changes that clearly constitute some form of concession or yielding, such as relaxing or removing bans or other restrictions that are already in place. ","Dozens of journalists at Sudan’s most respected daily newspaper appealed to the Sudanese government on Wednesday to let them resume publishing and compensate them for lost wages. ","02",31
"32",32,"Appeal for easing of political dissent","0252",-0.3,61,62,"Make an appeal for, request, or suggest that target stops political protest activities. ","Use this code for requests for the target to stop engaging in protests, demonstrations, strikes, etc. ","Islamic fundamentalist leaders appealed to their Muslim followers for an end to anti-government agitation, authorities said Monday. ","02",32
"33",33,"Appeal for release of persons or property","0253",-0.3,63,64,"Make an appeal for, request, or suggest that target releases persons or property. ","Use this code for requests for the target to release prisoners, hostages, and any confiscated property. ","The United States called on Israel to move forward with its “courageous and historic” disengagement plan as fast as possible. Note: While “disengagement” does not necessarily involve any kind of release of persons or property, in the case of Israel we can safely assume that any mention of the “disengagement plan” refers primarily to the withdrawal of settlements, hence, the return of land to the Palestinians; phrases involving “disengagement” or “settlements” can be entered into verb dictionaries, particularly the Middle East dictionary, as the appropriate codes pertaining to the release of property. ","02",33
"34",34,"Appeal for easing of economic sanctions, boycott, or embargo","0254",-0.3,65,66,"Make an appeal for, request, or suggest that target stops or eases economic ","Use this code only for economic sanctions, boycotts, or embargoes. ","Iraq on Saturday appealed to the U.N. to bring an end to their trade em","02",34
"35",35,"Appeal for target to allow international involvement (non-mediation)","0255",-0.3,67,68,"Make an appeal for, request, or suggest that target allows the entry of international actors, such as observers, humanitarian agencies, and peacekeeping forces. ","Requests for adversaries to allow mediation are coded as 028 instead. ","An international aid agency appealed to the Sudanese government on Friday to urgently reconsider its ban on relief flights to southern Sudan. Note: Because the identity of the agency is not provided, the general NGO code will be used. ","02",35
"36",36,"Appeal for de-escalation of military engagement","0256",-0.3,69,70,"Make an appeal for, request, or suggest that target stops fighting or takes measures to ease military conflict or tension. ","Use this code for appeals for ceasefires, military withdrawals, and demobilization. ","The presidents of Iraq and Egypt called on Tuesday for the withdrawal of Syrian and other foreign forces from Lebanon to end 14 years of civil war there. Note: Because of the compound source (governments of Iraq and Egypt), two events are coded. ","02",36
"37",37,"Appeal to others to meet or negotiate","026",4,72,73,"Propose or suggest meeting, negotiation, or discussion among other parties. ","This event form is typically, although not exclusively, a verbal act. The source for this event cannot be the actors whose meeting or negotiation is called for; it has to be third parties who appeal to one or more actors— target actors—to meet and/or negotiate. When parties themselves express their intent to meet and/or negotiate, use 036 instead. When meetings or negotiations do take place, use the appropriate code under category 04. ","El Salvador on Monday requested an urgent Security Council meeting on Wednesday to deal with what it called violations by Nicaragua of the Central American peace accords. ","02",37
"38",38,"Appeal to others to settle dispute","027",4,74,75,"Propose or suggest that others reach a settlement, agreement, or resolution of conflict. ","This event form is typically, although not exclusively, a verbal act. Note that the source for this event cannot be the adversaries themselves. When one or more parties to a conflict call for ending the conflict, that is taken to be an expression of intent on the part of that source actor to reach a settlement and is thus coded as 037 instead. ","The Russian Foreign Minister Sergei Lavrov said here Saturday that he urges Iran and the EU trio (France, Germany, and Britain) to reach an agreement in their talks on Iran’s nuclear program. Note: Given the presence of four different targets, four events are coded. ","02",38
"39",39,"Appeal to engage in or accept mediation","028",4,76,77,"Propose or suggest that target mediates or accepts the mediation of others. ","This event form is typically, although not exclusively, a verbal act. Note that the source for this event cannot be the potential mediator or parties to the conflict. When an actor proposes to play the role of mediator himself, this is assumed to be a commitment on his part and is coded as 039 instead. When one or more of the adversaries request that another party plays the role of a mediator, this is understood to be a commitment on their part to accept mediation and is thus coded as 038. The target can either be a potential mediator (whose mediation is being requested) or one of the adversaries (who is requested to allow involvement of mediators). ","The International Crisis Group has called on the UN stabilization mission in Haiti to broker an agreement among Haitians that “establishes common objectives for the next government.” ","02",39
"40",40,"EXPRESS INTENT TO COOPERATE","03",4,79,136,NA,NA,NA,"03",40
"41",41,"Express intent to cooperate","030",4,80,81,"Offer, promise, agree to, or otherwise indicate willingness or commitment to cooperate not otherwise specified. ","This residual category is not coded except when distinctions among codes 031 through 039 cannot be made. All cooperative actions reported in future tense are also taken to imply intentions, if not promises or commitments, to cooperate and are hence coded under this category. These events can be reciprocal or unilateral. ","Senior Hungarian and Romanian officials agreed on Wednesday that their countries should cooperate to encourage Romanian refugees in Hungary to return home. Note: Two reciprocal events are coded with actors reversed. ","03",41
"42",42,"Express intent to engage in material cooperation","031",5.2,82,91,"Offer, promise, agree to, or otherwise indicate willingness or commitment to engage in or expand material cooperative exchange not otherwise specified. ","This category contains sub-forms for more detailed coding whenever possible. This event form refers to commitments or indications of intent by parties to boost their material exchange; they could be reciprocal or unilateral agreements, promises, commitments, or other indications of intent to cooperate. Pledges to provide unilateral material aid, however, are coded under category 033. Expressions of intent to engage in or further diplomatic cooperation, such as negotiations, settling disputes, or provision of policy support are coded elsewhere under category 03. Note that events coded here are intents and commitments, and not actual events of cooperation, which should be coded under 06. ","The Asia-Pacific Economic Cooperation (APEC) forum has agreed to set up an energy research center in Tokyo to further develop its regional energy projections, officials said Thursday. ","03",42
"43",43,"Express intent to cooperate economically","0311",5.2,83,84,"Offer, promise, agree to, or otherwise indicate willingness or commitment to engage in or expand economic ties. ","This event form refers to agreements, promises, commitments, or other indications of intent to develop or expand trade and other forms of economic exchange. Offers, promises, or commitments by one actor to provide economic aid to another should be coded as 0331 instead. ","The United States and Jordan have agreed upon a new free-trade pact between the two countries, the White House announced Tuesday. Note: Two reciprocal events are coded with actors reversed. ","03",43
"44",44,"Express intent to cooperate militarily","0312",5.2,85,86,"Offer, promise, agree to, or otherwise indicate willingness or commitment to engage in or expand military ties. ","This event form refers to agreements, promises, commitments, or other indications of intent to develop or expand military relations by engaging in such acts as joint military maneuvers or exercises. Offers, promises, or commitments by one actor to provide military aid to another should be coded as 0332 instead. ","Jordan and Britain have agreed to undertake joint military exercises this month, a Jordanian official confirmed. Note: Two reciprocal events are coded with actors reversed. ","03",44
"45",45,"Express intent to cooperate on judicial matters","0313",5.2,87,88,"Offer, promise, agree to, or otherwise indicate willingness or commitment to engage in or expand judicial cooperation. ","This event form refers to agreements, promises, commitments, or other indications of intent to develop or expand judicial cooperation by engaging in such acts as extraditions. ","Libya has offered to hand over to an Arab country two of its nationals suspected by the West of blowing up a Pan Am plane in 1988, a state-owned Egyptian newspaper said. ","03",45
"46",46,"Express intent to cooperate on intelligence","0314",5.2,89,90,"Offer, promise, agree to, or otherwise indicate willingness or commitment to engage in or expand intelligence sharing. ","This event form refers to agreements, promises, commitments, or other indications of intent to develop or expand intelligence cooperation by providing or exchanging intelligence or information. ","Israel and the Palestinians reached a consensus to exchange information on water resources on the second day of a multilateral conference on water problems in the Middle East here Thursday, the meeting’s co-chairman said. Note: Two reciprocal events are coded with actors reversed. ","03",46
"47",47,"Express intent to engage in diplomatic cooperation (such as policy support)","032",4.5,92,93,"Offer, promise, agree to, or otherwise indicate willingness or commitment to expand diplomatic ties or cooperation. ","This event form is typically, although not exclusively, a verbal act. The offered or promised support should be non-material, such as supporting or backing particular policies and/or goals. Note that agreements or promises to engage in more specific forms of diplomatic cooperation, such as negotiations and mediation, are coded elsewhere under category 03. The target should be the recipient of the potential support. ","Portugal will support Turkey’s efforts to become a full member of the European Community, Portuguese President Mario Soares said on Tuesday. Note: Note that the future tense used in the lead indicates future commitment. ","03",47
"48",48,"Express intent to provide material aid","033",5.2,94,103,"Offer, promise, agree to, or otherwise indicate willingness or commitment to provide some form of material support not otherwise specified. ","This event category contains sub-forms for more detailed coding whenever possible. Note that more general commitments to broaden material exchange or cooperation are coded under 031 instead. Reported deliveries of material support are coded under category 07. The target should be the prospective recipient of aid. ","NATO-member Norway is willing to send material to help defend Saudi Arabia if it is attacked, Norway’s foreign minister said. ","03",48
"49",49,"Express intent to provide economic aid","0331",5.2,95,96,"Offer, promise, agree to, or otherwise indicate willingness or commitment to provide economic support. ","Code commitments to provide financial support, in form of grants, loans, or debt relief under this event code. Trade commitments should be coded as 0311 instead. ","Finland will give Tanzania a grant of 580 million shillings (64.45 million dollars) over the next three years to finance several projects in the country, a statement issued by the ministry of finance said today. Note: Note that the future tense used in the lead indicates future commitment. ","03",49
"50",50,"Express intent to provide military aid","0332",5.2,97,98,"Offer, promise, agree to, or otherwise indicate willingness or commitment to provide military support. ","Use this event form to code commitments to provide all forms of military aid. Promises to engage in bilateral or multilateral military cooperation should be coded as 0312 instead. ","British Defence Secretary Tom King has promised to continue military aid to war-torn Mozambique. ","03",50
"51",51,"Express intent to provide humanitarian aid","0333",5.2,99,100,"Offer, promise, agree to, or otherwise indicate willingness or commitment to provide humanitarian support. ","Use this code for commitments to provide all forms of humanitarian aid, including evacuations from dangerous zones and shelter for refugees. However, note that expressions of intent to provide military security or peacekeeping forces are coded as 0334 instead. Actual provisions of humanitarian aid are coded as 073. ","The United Nations will provide nearly 25,000 tons of emergency food aid to refugees fleeing the civil war in Liberia, the World Food Program (WFP) said on Monday. ","03",51
"52",52,"Express intent to provide military protection or peacekeeping","0334",6,101,102,"Offer, promise, agree to, or otherwise indicate willingness or commitment to deploy peacekeeping or other military forces for security. ","Source actor for this event is the party making the commitment to provide forces, while the target represents the prospective location of deployment. Actual deployments should be coded as linked events ‘Provide military protection or peacekeeping’ (074) and ‘Receive deployment of peacekeepers’ (0861) with actors reversed. Commitments by adversaries to accept peacekeepers should be coded as 0355. ","France is ready to contribute up to 4,000 troops to an international peacekeeping force in Yugoslavia, Defence Minister Pierre Joxe said on Monday. ","03",52
"53",53,"Express intent to institute political reform","034",7,104,113,"Offer, promise, agree to, or otherwise indicate willingness or commitment to institute political change not otherwise specified. ","If the promised reforms clearly constitutes some form of concession or yielding by the source, such as the easing of existing administrative sanctions, a more appropriate code might be found under 035. If there are specific groups or individuals asking for that change and that information is codeable given the structure of the lead, those actors should be coded as targets; otherwise, the country in general or actors to be affected by the change should be coded as the target. ",NA,"03",53
"54",54,"Express intent to change leadership","0341",7,105,106,"Offer, promise, agree to, or otherwise indicate willingness or commitment to change leadership or relinquish power. ","Commitments to resign or hand over power, as well to hold elections that might open the way for change in leadership, are coded here. Note that while commitments for other forms of yielding are coded under 035, commitments to give up power are coded here. ","Ousted President Askar Akayev has agreed to resign without returning to the Kyrgyzstan, the Parliament speaker said Saturday. Note: Because no specific group is mentioned, the country alone is coded as the target. ","03",54
"55",55,"Express intent to change policy","0342",7,107,108,"Offer, promise, agree to, or otherwise indicate willingness or commitment for policy change. ","Use this code for commitments to bring policy change—political, economic, military, social, or otherwise. If the policy change in question clearly represents a form of yielding, the appropriate code under 035 should be used instead. ","Planning and Investment Minister Tran Xuan Gia said Vietnam is committed to opening up the economy but will not be rushed, in a rare interview late on Friday. Note: Vietnam can be coded as the target since the country in general is obviously going to be affected from such a change in policy. ","03",55
"56",56,"Express intent to provide rights","0343",7,109,110,"Offer, promise, agree to, or otherwise indicate willingness or commitment to provide social, political, economic, or other rights and freedoms. ","If it is clear from the lead that by promising to provide certain rights the source is in fact committing to yield, the event might be better coded under 035. Commitments to provide compensation for previously violated rights, for instance, are coded as 035. ","Turkey will allow up to 13,000 Turkish Kurd refugees who have lived in Iraq for more than a decade to return home as part of a UN-brokered deal. Note: Allowing the voluntary repatriation of refugees constitutes provision of the right to go home. ","03",56
"57",57,"Express intent to change institutions, regime","0344",7,111,112,"Offer, promise, agree to, or otherwise indicate willingness or commitment to make fundamental political changes, such as moving from one type of political system to another and reforming political institutions or key laws. ","Note the difference between institutional/regime changes and policy reforms. ","Serbian President Vojislav Kostunica promised to democratize Serbia and establish the rule of law as he succeeded Milosevic. ","03",57
"58",58,"Express intent to yield","035",7,114,127,"Offer, promise, agree to, or otherwise indicate willingness or commitment to yield not otherwise specified. ","This event form refers to general expressions of willingness or commitment to concede; use the subcategories for more detailed coding. The actual events of yielding are coded under category 08. ","A Soviet official offered concessions last November that U.S. negotiator Paul Nitze believed could lead to an agreement on reducing nuclear missiles in Europe, according to a senator who acted as a go-between at the talks. ","03",58
"59",59,"Express intent to ease administrative sanctions","0351",7,115,116,"Offer, promise, agree to, or otherwise indicate willingness or commitment to ease administrative sanctions, such as censorship, curfew, state of emergency, and martial law. ",NA,"In an interview this weekend, President Abdelaziz Bouteflika said he is prepared to lift ban on Islamic Salvation Front (FIS) but not with its historical leadership. ","03",59
"60",60,"Express intent to ease popular dissent","0352",7,117,118,"Offer, promise, agree to, or otherwise indicate willingness or commitment to reduce or stop political protest activities, such as demonstrations and rallies. ",NA,"Leaders of the Azadliq (Freedom) opposition coalition agreed to postpone the demonstration in Baku until 9 November. ","03",60
"61",61,"Express intent to release persons or property","0353",7,119,120,"Offer, promise, agree to, or otherwise indicate willingness or commitment to release or return persons or property. ","Commitments to release or exchange prisoners and hostages, as well as commitments to return previously confiscated properties, are coded here. ","The Fijian rebels said they will release Prime Minister Mahendra Chaudhry and more than 30 members of his government, whom they had taken hostage two weeks ago, on the weekend. ","03",61
"62",62,"Express intent to ease economic sanctions, boycott, or embargo","0354",7,121,122,"Offer, promise, agree to, or otherwise indicate willingness or commitment to ","Use this code only for economic sanctions, boycotts, or embargoes. ","The US Congress agreed to lift embargoes on pharmaceutical sales in late Note: Due to the compound target, five separate events are coded. ","03",62
"63",63,"Express intent to allow international involvement (non-mediation)","0355",7,123,124,"Offer, promise, agree to, or otherwise indicate willingness or commitment to allow access to international actors, such as observers, humanitarian agencies, and peacekeeping forces. ","Prospective peacekeepers, observers, etc. are coded as targets. Commitments to accept mediation by third parties are coded as 038 instead. ","Ethopia has agreed to re-open its borders to UN peackeepers, who are depolyed in the region to oversee a ceasefire between Ethiopia and its neighbor, Eritrea. ","03",63
"64",64,"Express intent to de-escalate military engagement","0356",7,125,126,"Offer, promise, agree to, or otherwise indicate willingness or commitment to stop fighting or take measures to ease military conflict or tension. ","Use this code for appeals for ceasefires, military withdrawals, and demobilization. ","Yugoslavia and Slovenia agreed to a ceasefire after two days of fierce fighting but media reports said sporadic clashes were still continuing. Note: Two reciprocal events are coded with actors reversed. ","03",64
"65",65,"Express intent to meet or negotiate","036",4,128,129,"Offer, promise, agree to, or otherwise indicate willingness or commitment to meet, visit, or engage in talks or negotiations. ","This event code refers to future commitments to meet and/or negotiate; when meetings, negotiations, or other talks do take place, those are coded under category 04 instead. When mediation is mentioned specifically, appropriate mediation-related codes take precedence over meetings or negotiations. ","East German Foreign Minister Oskar Fischer will visit Albania in June, the first Warsaw Pact foreign minister to do so since Tirana split with Moscow in 1961, the Albanian embassy said. Note: Given the wording of this lead, which implies that Albania has already committed to receive the German minister, two reciprocal events of 038 are coded with actors reversed. This example fits under this category since the future tense used implies a future commitment to meet. ","03",65
"66",66,"Express intent to settle dispute","037",5,130,131,"Offer, promise, agree to, or otherwise indicate willingness or commitment to reach a comprehensive settlement, agreement, or resolution to conflict. ","Note that specific commitments to yield, which might be present steps to settling disputes, are coded elsewhere under category 03. Both the source and the target for this event type should be adversaries themselves. When other parties make appeals to end disputes in which they are not directly involved, use ‘Appeal to others to settle dispute’ (027) instead. ","Denmark today accepted a formula for ending its fisheries dispute with its European common market partners, government officials said. ","03",66
